                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3477,                 4.7298,                 3.8185,                0.00092,                0.03385,                0.00064,                0.00018,                 3.1841,                 4.2187,                  3.516,               0.067028,             0.00033305,             0.00033305
                      2,                 3.2865,                 4.4588,                 3.4493,                0.00448,                0.19915,                0.00502,                0.00117,                 3.0861,                 4.1081,                 3.3491,               0.034025,             0.00066308,             0.00066308
                      3,                 2.7729,                 4.0233,                 3.0788,                0.46697,                0.05123,                0.02571,                0.00855,                 2.5049,                 3.5505,                 2.9937,              0.0010184,             0.00098982,             0.00098982
                      4,                 2.2007,                 3.6058,                 2.6525,                0.30113,                0.11346,                0.06833,                0.02908,                 2.1069,                 3.1298,                 2.6476,             0.00098515,             0.00098515,             0.00098515
                      5,                 1.9633,                 3.3293,                 2.4187,                0.30333,                0.16346,                0.11211,                  0.054,                 1.9622,                 2.8926,                 2.4833,              0.0009802,              0.0009802,              0.0009802
                      6,                 1.8417,                 3.1366,                 2.2931,                0.32324,                0.20468,                0.14918,                0.07485,                 1.8548,                 2.7566,                  2.367,             0.00097525,             0.00097525,             0.00097525
                      7,                 1.7604,                  3.001,                 2.2125,                 0.3802,                 0.2285,                0.18353,                0.09389,                 1.7877,                 2.6092,                 2.2952,              0.0009703,              0.0009703,              0.0009703
                      8,                 1.6975,                 2.8819,                  2.153,                0.30275,                0.27159,                0.21428,                 0.1109,                 1.7403,                 2.4953,                  2.249,             0.00096535,             0.00096535,             0.00096535
                      9,                 1.6516,                 2.7883,                 2.1023,                0.34679,                0.29653,                0.25453,                0.13538,                 1.6925,                 2.3862,                 2.1865,              0.0009604,              0.0009604,              0.0009604
                     10,                 1.6116,                  2.713,                  2.062,                0.37228,                0.31767,                0.28296,                0.15526,                 1.6448,                 2.2848,                 2.1329,             0.00095545,             0.00095545,             0.00095545
                     11,                 1.5805,                 2.6391,                 2.0321,                0.39574,                0.33729,                0.30378,                0.16798,                 1.6074,                 2.2368,                 2.1013,              0.0009505,              0.0009505,              0.0009505
                     12,                 1.5411,                 2.5637,                 1.9973,                0.39507,                0.36076,                0.33486,                0.18642,                 1.5915,                 2.1578,                 2.0718,             0.00094555,             0.00094555,             0.00094555
