               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088579,            0.040469,            0.066495,            0.003928,            0.076125,           0.0027034,          0.00069522,            0.079603,            0.026396,             0.05737,            0.070025,           0.0033306,           0.0033306
                   1,            0.077274,            0.041597,            0.060277,             0.57053,            0.023242,           0.0090339,           0.0024451,            0.072012,             0.02708,            0.052666,            0.039995,           0.0066339,           0.0066339
                   2,            0.068686,            0.042476,            0.055342,             0.25647,            0.041919,            0.031476,            0.010057,            0.067158,            0.025435,            0.050781,           0.0099348,           0.0099073,           0.0099073
                   3,              0.0643,            0.040932,            0.049645,             0.23098,             0.15473,             0.10419,            0.034877,            0.060701,            0.024925,            0.038756,            0.009865,            0.009865,            0.009865
                   4,            0.061329,            0.040004,            0.045845,             0.32033,             0.22587,             0.15772,            0.058268,            0.058331,            0.024321,            0.036153,            0.009865,            0.009865,            0.009865
                   5,            0.059647,            0.039586,            0.042428,             0.31029,              0.2633,             0.20076,            0.076682,            0.056684,            0.024067,            0.031603,             0.00982,             0.00982,             0.00982
                   6,            0.058196,            0.039024,            0.040677,             0.33494,             0.27708,             0.22833,            0.092506,            0.055824,             0.02397,            0.031569,            0.009775,            0.009775,            0.009775
                   7,            0.057151,              0.0382,             0.03893,             0.33059,             0.32122,             0.26384,             0.11428,            0.053874,            0.023706,            0.027831,             0.00973,             0.00973,             0.00973
                   8,            0.056017,            0.038292,            0.037442,             0.37073,             0.33936,             0.29042,             0.12614,            0.053173,            0.023407,            0.028183,            0.009685,            0.009685,            0.009685
                   9,            0.055207,              0.0381,            0.036163,             0.38599,             0.34318,             0.30411,             0.13575,            0.052708,            0.023232,            0.026465,             0.00964,             0.00964,             0.00964
                  10,            0.054296,            0.037877,            0.035135,             0.42696,             0.36802,             0.34618,             0.16007,              0.0514,             0.02288,            0.024853,            0.009595,            0.009595,            0.009595
                  11,            0.053906,            0.037841,            0.034586,             0.45587,             0.36523,             0.35581,              0.1631,            0.051118,            0.022929,            0.024154,             0.00955,             0.00955,             0.00955
                  12,              0.0536,            0.037545,            0.033339,             0.42894,             0.38969,             0.36709,             0.17067,            0.050259,            0.022739,             0.02344,            0.009505,            0.009505,            0.009505
                  13,            0.053041,            0.037123,            0.032214,             0.45653,             0.41196,             0.39018,             0.18538,            0.049147,            0.022449,             0.02224,             0.00946,             0.00946,             0.00946
                  14,            0.052266,            0.036847,            0.032116,             0.46079,             0.42169,             0.40011,             0.18873,            0.048151,            0.022488,            0.021177,            0.009415,            0.009415,            0.009415
                  15,            0.051602,            0.036927,            0.031052,             0.48437,             0.41534,             0.41852,             0.20521,            0.047988,            0.022112,            0.021085,             0.00937,             0.00937,             0.00937
                  16,            0.051484,            0.036975,            0.030253,             0.49156,             0.44421,             0.44396,             0.22127,            0.046832,            0.022071,            0.019612,            0.009325,            0.009325,            0.009325
                  17,            0.050892,            0.036329,            0.030205,             0.50168,             0.44044,             0.44146,              0.2201,            0.046632,            0.021975,            0.019326,             0.00928,             0.00928,             0.00928
                  18,            0.050942,            0.036535,            0.029845,             0.52923,             0.45451,             0.46438,             0.23365,            0.046663,            0.021805,            0.019308,            0.009235,            0.009235,            0.009235
                  19,            0.050564,            0.036061,              0.0297,             0.51671,             0.47119,             0.47017,             0.23665,            0.046088,            0.021699,            0.019123,             0.00919,             0.00919,             0.00919
                  20,            0.050274,            0.035976,            0.028831,             0.52896,             0.47616,             0.47503,             0.24086,             0.04542,            0.021608,            0.018449,            0.009145,            0.009145,            0.009145
                  21,            0.050019,            0.036044,            0.028041,             0.55314,             0.47568,             0.49932,             0.25421,             0.04539,            0.021405,            0.017819,              0.0091,              0.0091,              0.0091
                  22,            0.049665,             0.03587,            0.027591,             0.55242,             0.47738,             0.50416,              0.2631,            0.044954,             0.02143,            0.017419,            0.009055,            0.009055,            0.009055
                  23,            0.049413,             0.03615,            0.027239,             0.55274,             0.50823,             0.51091,             0.26372,            0.044933,            0.021305,            0.017392,             0.00901,             0.00901,             0.00901
                  24,            0.049238,            0.035704,             0.02734,             0.55764,             0.49781,             0.51781,             0.27092,            0.044488,            0.021173,            0.017072,            0.008965,            0.008965,            0.008965
                  25,            0.049121,            0.035683,            0.027018,             0.57793,             0.52057,             0.53618,             0.28245,            0.044049,             0.02113,            0.016655,             0.00892,             0.00892,             0.00892
                  26,            0.048749,            0.035319,            0.026354,             0.57569,             0.52818,             0.54393,             0.28502,            0.043751,            0.021091,            0.016502,            0.008875,            0.008875,            0.008875
                  27,             0.04838,            0.035454,             0.02577,             0.59816,             0.52419,             0.55018,             0.29165,            0.043422,            0.020925,            0.015574,             0.00883,             0.00883,             0.00883
                  28,            0.048287,            0.035535,            0.025877,             0.59365,             0.51931,             0.55834,             0.29366,            0.043222,             0.02086,            0.015898,            0.008785,            0.008785,            0.008785
                  29,            0.048328,            0.035362,            0.025513,              0.5894,             0.53163,              0.5612,             0.29943,            0.042939,            0.020787,            0.015445,             0.00874,             0.00874,             0.00874
                  30,            0.047778,            0.035226,            0.025228,             0.60184,             0.53293,             0.57079,             0.30462,            0.042412,            0.020743,              0.0148,            0.008695,            0.008695,            0.008695
                  31,            0.047609,            0.035319,            0.024746,             0.61693,             0.54089,             0.57907,             0.31308,            0.042284,            0.020677,             0.01464,             0.00865,             0.00865,             0.00865
                  32,            0.047348,            0.035134,            0.024786,             0.63054,             0.54315,             0.58438,             0.31659,            0.041991,            0.020659,            0.014504,            0.008605,            0.008605,            0.008605
                  33,            0.047141,            0.034904,            0.024414,             0.61903,               0.547,             0.58091,             0.31546,            0.042083,            0.020582,             0.01473,             0.00856,             0.00856,             0.00856
                  34,            0.047057,            0.034866,            0.024139,             0.62932,             0.54541,             0.58778,             0.32126,            0.042088,            0.020508,             0.01442,            0.008515,            0.008515,            0.008515
                  35,            0.046778,            0.034509,            0.023871,             0.62947,             0.54958,             0.59191,             0.32499,             0.04187,            0.020461,            0.014347,             0.00847,             0.00847,             0.00847
                  36,            0.046922,             0.03466,            0.023651,             0.61036,             0.55676,             0.59347,             0.32788,             0.04169,            0.020448,            0.014438,            0.008425,            0.008425,            0.008425
                  37,            0.046532,            0.034493,            0.023694,             0.62415,             0.56155,             0.59966,             0.33255,            0.041565,             0.02041,            0.014392,             0.00838,             0.00838,             0.00838
                  38,            0.046654,            0.034732,            0.023479,             0.62883,             0.55781,              0.6036,             0.33779,            0.041436,            0.020329,            0.014035,            0.008335,            0.008335,            0.008335
                  39,            0.046448,             0.03449,            0.023071,             0.62584,             0.56217,             0.60685,             0.34098,            0.041347,            0.020303,            0.013854,             0.00829,             0.00829,             0.00829
                  40,            0.046365,            0.034292,            0.023061,             0.63614,             0.55894,             0.60984,             0.34272,             0.04123,            0.020279,            0.013817,            0.008245,            0.008245,            0.008245
                  41,            0.046202,            0.034485,            0.022656,              0.6369,             0.56364,             0.61247,             0.34525,            0.041046,            0.020239,            0.013586,              0.0082,              0.0082,              0.0082
                  42,            0.045919,            0.034142,            0.022472,             0.63208,             0.57525,             0.61745,             0.34713,             0.04093,            0.020197,            0.013442,            0.008155,            0.008155,            0.008155
                  43,            0.046112,            0.034153,            0.022359,             0.62882,              0.5792,             0.62112,             0.34929,            0.040856,            0.020173,            0.013419,             0.00811,             0.00811,             0.00811
                  44,            0.045757,            0.034155,            0.022501,             0.63969,             0.58009,             0.62436,             0.35215,            0.040756,            0.020141,             0.01329,            0.008065,            0.008065,            0.008065
                  45,            0.045379,            0.033924,            0.021595,             0.64223,             0.58225,             0.62661,             0.35422,            0.040608,            0.020108,            0.013166,             0.00802,             0.00802,             0.00802
                  46,            0.045347,            0.033965,            0.021721,             0.64424,             0.58514,             0.62909,             0.35579,            0.040499,            0.020086,            0.013118,            0.007975,            0.007975,            0.007975
                  47,            0.045242,            0.033822,            0.021313,             0.65047,             0.58037,             0.62949,             0.35676,            0.040374,            0.020074,            0.013107,             0.00793,             0.00793,             0.00793
                  48,            0.045132,            0.034236,            0.021688,             0.65026,             0.57924,              0.6306,             0.35851,            0.040265,            0.020053,            0.013038,            0.007885,            0.007885,            0.007885
                  49,            0.045122,            0.033924,            0.021475,             0.64853,             0.58795,              0.6322,             0.35976,            0.040208,            0.020025,             0.01302,             0.00784,             0.00784,             0.00784
                  50,            0.044719,            0.033754,            0.021039,             0.64317,             0.59328,             0.63296,             0.36139,            0.040135,            0.019999,            0.012918,            0.007795,            0.007795,            0.007795
                  51,            0.045087,            0.033858,            0.020742,             0.65128,             0.59049,             0.63464,             0.36285,            0.040087,            0.019978,            0.012862,             0.00775,             0.00775,             0.00775
                  52,            0.044787,            0.033664,            0.020576,             0.65213,              0.5913,             0.63587,             0.36556,            0.040027,            0.019952,            0.012752,            0.007705,            0.007705,            0.007705
                  53,            0.044501,            0.033864,            0.020895,             0.64977,             0.59742,             0.63866,             0.36709,            0.039964,            0.019932,            0.012647,             0.00766,             0.00766,             0.00766
                  54,            0.044947,            0.033819,            0.021007,             0.64675,              0.5966,             0.63869,             0.36835,            0.039904,            0.019912,            0.012577,            0.007615,            0.007615,            0.007615
                  55,            0.044439,            0.033576,            0.020418,             0.64134,             0.59948,             0.64024,             0.36916,            0.039853,              0.0199,            0.012521,             0.00757,             0.00757,             0.00757
                  56,            0.044225,            0.033333,            0.020594,             0.64493,             0.59933,             0.64126,             0.37043,            0.039809,            0.019881,            0.012452,            0.007525,            0.007525,            0.007525
