               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091961,            0.043574,            0.071439,           0.0008087,            0.054404,          0.00055037,          0.00015927,            0.085576,            0.026351,            0.063109,            0.067365,          0.00066602,          0.00066602
                   1,             0.08821,            0.044157,            0.064425,           0.0010001,            0.025782,          0.00060806,          0.00021466,            0.083848,            0.026876,            0.059864,            0.034692,           0.0013261,           0.0013261
                   2,            0.083339,            0.044948,             0.06332,           0.0024464,             0.15241,           0.0024656,          0.00066386,             0.07613,            0.029284,            0.056897,           0.0020118,           0.0019796,           0.0019796
                   3,            0.071015,            0.046762,            0.060725,             0.65549,            0.019325,            0.017497,           0.0056838,            0.065133,            0.027629,            0.053744,           0.0019703,           0.0019703,           0.0019703
                   4,            0.064066,            0.045447,            0.057991,              0.3582,            0.061293,            0.040232,            0.013637,            0.060807,             0.02728,            0.050448,           0.0019703,           0.0019703,           0.0019703
                   5,             0.06087,            0.044724,            0.054884,             0.27218,             0.09992,            0.072098,            0.025964,            0.058367,            0.026225,            0.046138,           0.0019604,           0.0019604,           0.0019604
                   6,            0.059312,            0.044241,            0.051199,             0.24194,              0.1567,            0.094053,            0.035078,            0.056612,            0.026184,            0.041252,           0.0019505,           0.0019505,           0.0019505
                   7,            0.057703,            0.043215,            0.047942,             0.26377,             0.19655,             0.12702,            0.051105,            0.055741,            0.025526,            0.039787,           0.0019406,           0.0019406,           0.0019406
                   8,            0.056256,            0.042439,            0.045881,              0.2702,              0.2171,             0.14718,            0.058383,            0.053773,            0.025494,            0.035874,           0.0019307,           0.0019307,           0.0019307
                   9,            0.055376,            0.041989,            0.043752,             0.26179,             0.25187,             0.17708,             0.07297,             0.05263,            0.025095,            0.032742,           0.0019208,           0.0019208,           0.0019208
                  10,            0.054741,            0.041956,             0.04234,             0.26696,             0.27361,             0.20783,             0.08972,            0.051689,            0.024725,            0.031734,           0.0019109,           0.0019109,           0.0019109
                  11,            0.053697,            0.041714,            0.040484,             0.30396,             0.28609,             0.22736,             0.09928,            0.051119,            0.024573,            0.030006,            0.001901,            0.001901,            0.001901
                  12,            0.053234,            0.041456,            0.039281,             0.30012,             0.32724,             0.25032,             0.10944,            0.050274,            0.024439,            0.028336,           0.0018911,           0.0018911,           0.0018911
                  13,            0.052461,            0.041169,            0.038114,             0.35253,             0.34648,             0.28325,              0.1266,            0.049081,            0.024159,            0.026178,           0.0018812,           0.0018812,           0.0018812
                  14,            0.051896,            0.040562,            0.036538,             0.36352,             0.36384,             0.29705,             0.13246,            0.048504,            0.023974,            0.025531,           0.0018713,           0.0018713,           0.0018713
                  15,            0.051244,            0.040328,            0.036067,             0.37537,             0.36818,             0.31855,             0.14473,            0.047971,            0.023954,            0.024456,           0.0018614,           0.0018614,           0.0018614
                  16,            0.050901,            0.040466,            0.035118,             0.38301,             0.38862,             0.33336,             0.15512,            0.047408,            0.023584,            0.023252,           0.0018515,           0.0018515,           0.0018515
                  17,            0.050368,            0.040057,            0.034176,             0.39758,             0.39479,             0.34791,             0.16353,            0.046664,            0.023544,            0.022246,           0.0018416,           0.0018416,           0.0018416
                  18,            0.050215,            0.040293,            0.032938,             0.41642,             0.40064,             0.36653,             0.17325,            0.046239,             0.02349,             0.02174,           0.0018317,           0.0018317,           0.0018317
                  19,            0.049723,             0.03985,             0.03265,             0.44447,             0.41846,             0.38677,             0.18479,            0.045796,            0.023236,            0.021103,           0.0018218,           0.0018218,           0.0018218
                  20,            0.049353,            0.039507,            0.031814,             0.45125,             0.42973,             0.39669,             0.19316,            0.045519,            0.023144,            0.020563,           0.0018119,           0.0018119,           0.0018119
                  21,            0.048642,            0.039253,            0.031046,              0.4509,             0.43042,             0.40993,             0.20072,            0.045017,            0.023066,            0.019612,            0.001802,            0.001802,            0.001802
                  22,            0.048535,            0.039305,            0.030405,             0.47535,             0.44758,             0.42821,             0.20958,            0.044673,            0.022944,            0.019254,           0.0017921,           0.0017921,           0.0017921
                  23,            0.048251,            0.038611,            0.029833,             0.48199,             0.45533,             0.43877,             0.21542,            0.044243,            0.022898,            0.018696,           0.0017822,           0.0017822,           0.0017822
                  24,            0.047961,             0.03876,            0.029172,             0.49221,             0.45972,             0.44938,             0.22506,            0.043964,            0.022654,             0.01801,           0.0017723,           0.0017723,           0.0017723
                  25,            0.047467,            0.038533,            0.028314,             0.50593,             0.46841,             0.46312,             0.23226,            0.043763,            0.022642,            0.017838,           0.0017624,           0.0017624,           0.0017624
                  26,            0.047244,            0.038722,            0.028526,             0.52587,             0.47138,             0.47489,             0.23954,            0.043408,            0.022546,            0.017586,           0.0017525,           0.0017525,           0.0017525
                  27,            0.047191,            0.038829,            0.028032,              0.5305,             0.48087,             0.48367,             0.24657,            0.043415,            0.022434,            0.017118,           0.0017426,           0.0017426,           0.0017426
                  28,            0.046756,            0.038172,            0.027595,             0.53628,              0.4841,             0.49027,             0.25039,             0.04305,            0.022398,            0.017132,           0.0017327,           0.0017327,           0.0017327
                  29,            0.046551,            0.038288,            0.026677,             0.54281,             0.48654,             0.49747,              0.2561,            0.042739,            0.022348,            0.016698,           0.0017228,           0.0017228,           0.0017228
                  30,            0.046275,            0.038073,            0.026521,             0.54074,             0.50707,             0.50739,             0.26316,            0.042555,            0.022243,            0.016123,           0.0017129,           0.0017129,           0.0017129
                  31,            0.045878,            0.037987,            0.026094,             0.56454,             0.49879,             0.51324,             0.26519,            0.042413,            0.022113,            0.015817,            0.001703,            0.001703,            0.001703
                  32,            0.045921,            0.037857,            0.025762,             0.57087,             0.50527,             0.52142,             0.26918,            0.042106,            0.022099,             0.01554,           0.0016931,           0.0016931,           0.0016931
                  33,            0.045894,             0.03818,            0.025566,             0.56466,              0.5096,             0.52483,             0.27306,            0.041982,            0.022017,            0.015308,           0.0016832,           0.0016832,           0.0016832
                  34,            0.045436,            0.037938,            0.025403,             0.57185,             0.51556,             0.53173,             0.27764,             0.04184,            0.021948,            0.015161,           0.0016733,           0.0016733,           0.0016733
                  35,            0.045464,            0.037731,            0.024879,             0.57433,             0.51963,             0.53696,             0.28189,            0.041604,            0.021941,            0.014656,           0.0016634,           0.0016634,           0.0016634
                  36,            0.045041,            0.037906,             0.02438,              0.5803,             0.51926,             0.54415,             0.28684,            0.041472,            0.021865,             0.01434,           0.0016535,           0.0016535,           0.0016535
                  37,            0.045012,             0.03797,            0.024214,             0.58944,             0.52726,             0.54877,             0.28995,            0.041302,            0.021794,             0.01413,           0.0016436,           0.0016436,           0.0016436
                  38,            0.044792,            0.037489,            0.023824,              0.5719,             0.54027,             0.55104,             0.29342,            0.041145,             0.02179,            0.014166,           0.0016337,           0.0016337,           0.0016337
                  39,            0.044622,            0.037366,            0.023633,             0.58485,             0.54188,             0.55768,             0.29803,            0.040996,            0.021694,            0.013944,           0.0016238,           0.0016238,           0.0016238
                  40,            0.044632,            0.037408,            0.023369,             0.58665,             0.53936,             0.56016,             0.30129,            0.040904,            0.021669,            0.013751,           0.0016139,           0.0016139,           0.0016139
                  41,             0.04422,             0.03709,            0.022689,             0.58498,              0.5522,             0.56473,              0.3048,            0.040801,            0.021609,            0.013717,            0.001604,            0.001604,            0.001604
                  42,            0.044094,             0.03698,              0.0228,             0.59444,             0.54828,             0.56821,             0.30681,             0.04072,            0.021588,            0.013567,           0.0015941,           0.0015941,           0.0015941
                  43,            0.043882,            0.037104,              0.0228,             0.59423,             0.55868,             0.57448,              0.3109,            0.040563,            0.021549,            0.013329,           0.0015842,           0.0015842,           0.0015842
                  44,            0.043816,            0.036476,            0.022459,              0.5968,             0.55771,             0.57786,             0.31346,            0.040444,            0.021503,            0.013153,           0.0015743,           0.0015743,           0.0015743
                  45,            0.043646,            0.036785,            0.022406,             0.59964,             0.55719,             0.58044,             0.31539,            0.040321,            0.021487,            0.013043,           0.0015644,           0.0015644,           0.0015644
                  46,            0.043734,            0.036702,            0.021768,             0.60656,             0.55981,             0.58306,             0.31735,            0.040222,             0.02145,            0.012956,           0.0015545,           0.0015545,           0.0015545
                  47,            0.043456,            0.036801,            0.021498,              0.6096,             0.56485,              0.5862,             0.31924,            0.040128,            0.021405,             0.01284,           0.0015446,           0.0015446,           0.0015446
                  48,            0.043415,            0.036737,            0.021587,             0.59999,             0.57638,             0.58962,             0.32176,            0.040056,            0.021389,            0.012776,           0.0015347,           0.0015347,           0.0015347
                  49,            0.042931,             0.03626,            0.021255,             0.60916,             0.57559,             0.59047,             0.32307,            0.039996,            0.021385,            0.012637,           0.0015248,           0.0015248,           0.0015248
                  50,            0.043099,            0.036196,            0.021108,             0.60852,             0.57851,             0.59415,             0.32526,            0.039941,            0.021365,            0.012543,           0.0015149,           0.0015149,           0.0015149
                  51,            0.042947,            0.036361,            0.020769,             0.61709,             0.57782,              0.5969,             0.32706,            0.039873,            0.021334,            0.012467,            0.001505,            0.001505,            0.001505
                  52,            0.042548,             0.03609,            0.020591,               0.618,              0.5806,             0.59896,             0.32916,            0.039796,             0.02131,            0.012393,           0.0014951,           0.0014951,           0.0014951
                  53,            0.042533,             0.03614,            0.020469,             0.62597,             0.57898,             0.60154,             0.33084,            0.039728,            0.021284,            0.012313,           0.0014852,           0.0014852,           0.0014852
                  54,            0.042475,            0.036129,            0.020328,             0.62157,             0.58381,             0.60442,             0.33243,            0.039662,            0.021262,            0.012243,           0.0014753,           0.0014753,           0.0014753
                  55,             0.04235,            0.036253,             0.02018,             0.62672,             0.58654,             0.60671,             0.33369,            0.039607,            0.021239,            0.012182,           0.0014654,           0.0014654,           0.0014654
                  56,            0.042104,            0.036043,            0.019878,              0.6291,             0.58702,             0.60913,             0.33572,            0.039545,            0.021215,            0.012115,           0.0014555,           0.0014555,           0.0014555
                  57,            0.041968,            0.035608,            0.019608,             0.62747,             0.59093,             0.61132,             0.33763,            0.039487,            0.021192,            0.012065,           0.0014456,           0.0014456,           0.0014456
                  58,            0.041749,            0.035575,            0.019706,             0.63551,             0.59088,              0.6121,             0.33902,            0.039433,            0.021171,            0.012021,           0.0014357,           0.0014357,           0.0014357
                  59,            0.041873,             0.03566,            0.019375,             0.63303,             0.59495,             0.61391,             0.34111,            0.039392,            0.021143,            0.011983,           0.0014258,           0.0014258,           0.0014258
                  60,            0.041878,              0.0357,            0.019447,             0.63705,             0.59387,             0.61587,             0.34204,            0.039344,            0.021125,             0.01194,           0.0014159,           0.0014159,           0.0014159
                  61,            0.041457,            0.035565,             0.01898,             0.64437,             0.59464,             0.61788,             0.34356,            0.039293,            0.021106,            0.011907,            0.001406,            0.001406,            0.001406
                  62,             0.04161,            0.035724,             0.01907,             0.64651,              0.5957,             0.61868,             0.34413,            0.039249,            0.021088,            0.011869,           0.0013961,           0.0013961,           0.0013961
                  63,            0.041468,            0.035709,            0.018814,             0.64751,              0.5973,             0.61945,             0.34581,            0.039207,            0.021075,             0.01183,           0.0013862,           0.0013862,           0.0013862
                  64,            0.041273,            0.035729,            0.018574,             0.64968,             0.59747,             0.62039,             0.34681,            0.039166,            0.021062,            0.011789,           0.0013763,           0.0013763,           0.0013763
                  65,            0.041146,            0.035456,            0.018432,             0.64816,             0.59943,             0.62095,             0.34786,            0.039125,            0.021051,            0.011759,           0.0013664,           0.0013664,           0.0013664
                  66,            0.041074,            0.035131,            0.018197,             0.64784,             0.60067,             0.62245,             0.34876,            0.039086,             0.02104,            0.011725,           0.0013565,           0.0013565,           0.0013565
                  67,             0.04097,            0.035269,            0.018181,             0.64922,             0.60026,             0.62331,             0.34997,            0.039046,            0.021031,            0.011686,           0.0013466,           0.0013466,           0.0013466
                  68,            0.040839,            0.035479,            0.017738,             0.64791,             0.60178,             0.62438,             0.35069,            0.039011,            0.021022,            0.011653,           0.0013367,           0.0013367,           0.0013367
                  69,            0.040549,            0.035395,            0.017773,             0.64919,             0.60189,             0.62527,             0.35146,            0.038971,            0.021012,             0.01162,           0.0013268,           0.0013268,           0.0013268
                  70,            0.040661,            0.034869,            0.017889,             0.64952,             0.60183,             0.62608,             0.35258,            0.038941,            0.021001,             0.01159,           0.0013169,           0.0013169,           0.0013169
                  71,             0.04059,            0.034908,            0.017414,             0.65228,             0.60006,             0.62679,             0.35312,            0.038913,             0.02099,            0.011568,            0.001307,            0.001307,            0.001307
                  72,            0.040531,             0.03491,            0.017506,             0.65078,             0.60097,             0.62734,             0.35382,            0.038886,            0.020979,            0.011537,           0.0012971,           0.0012971,           0.0012971
                  73,            0.040333,            0.034937,            0.017035,             0.65285,             0.60212,             0.62877,              0.3547,            0.038859,            0.020968,             0.01151,           0.0012872,           0.0012872,           0.0012872
                  74,            0.040258,            0.034998,            0.017044,             0.65319,             0.60069,             0.62938,             0.35575,             0.03883,            0.020956,            0.011482,           0.0012773,           0.0012773,           0.0012773
